,subsample,booster,gamma,nrounds,colsample_bylevel,eta,lambda,num.impute.selected.cpo,colsample_bytree,alpha,max_depth,min_child_weight,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),skip_drop,rate_drop,seed,status,config_id
0,0.6732655185893088,gbtree,7.423181599006656e-05,8,0.8151375368082697,0.5429647061428569,4.449985602325833,impute.mean,0.7322015953741584,1.8418120200142563,9.0,71.05215724880047,1.0,10,0.0,33.333333333333336,0.70948637,0.5,0.5,0,success,0
1,0.10246465015313329,dart,1.3348932405791374,9,0.7323588919656446,0.0031184766307221904,1.7868549860271736,impute.mean,0.42846034898568186,0.005195127411144453,5.0,39.74554100266369,1.0,10,33.333333333333336,66.66666666666667,0.09395434,0.8631789223498866,0.028319671145462966,0,success,1
2,0.6824705604168251,gblinear,0.0183156389,71,0.505,0.0301973834,1054.6234903720062,impute.median,0.505,838.5672181990418,8,20.0855369232,1.0,10,66.66666666666667,100.0,0.095319115,0.5,0.5,0,success,2
3,0.7169877860326253,dart,0.17575940553798675,74,0.14374553997218711,0.14233360885964763,0.07018548595007515,impute.median,0.4909770052434712,435.5498358510774,8.0,26.7388970310461,1.0,10,100.0,133.33333333333334,0.09615177,0.5253543224757259,0.8894878343490003,0,success,3
4,0.38968245196834794,gbtree,0.056789738056113356,54,0.39770281052287965,0.46390312264108907,0.021932325273878648,impute.hist,0.09317519014656098,105.32155164037924,10.0,63.33215828684992,1.0,10,133.33333333333334,166.66666666666669,0.092936814,0.5,0.5,0,success,4
5,0.31543249869365697,dart,9.168208323715322e-05,54,0.15877667222589067,0.02133034796006424,0.023028813779708765,impute.hist,0.061501088053765515,0.014686635081637906,15.0,27.697150668445648,1.0,10,166.66666666666669,200.00000000000003,0.74414676,0.7963242702872942,0.4045518398215282,0,success,5
6,0.3688265195370304,gblinear,0.0183156389,409,0.505,0.0301973834,0.0148941943269894,impute.hist,0.505,0.15130499504246586,8,20.0855369232,1.0,10,200.00000000000003,233.33333333333337,0.831379,0.5,0.5,0,success,6
7,0.1949457516132066,dart,0.0862330140062666,1918,0.44597338316862617,0.7276998977321466,0.3510596060550808,impute.hist,0.9951455401829709,0.5715701536871005,10.0,56.31243500778833,1.0,10,233.33333333333337,266.6666666666667,0.18255033,0.499895813687647,0.9489436749377653,0,success,7
8,0.5476804259388571,gbtree,0.5652022815686141,86,0.737138736070842,0.13239043860360955,423.61948556526795,impute.median,0.12378330694809614,24.68539168882756,15.0,130.54327222081372,1.0,10,266.6666666666667,300.0,0.100135654,0.5,0.5,0,success,8
9,0.11323567446883237,dart,1.438615342025452,2660,0.9576380778148539,0.002583392259612612,234.88541044352175,impute.median,0.48518804456975384,68.46537219538193,13.0,109.30264989600825,1.0,10,300.0,333.3333333333333,0.13355693,0.972628813822955,0.23237291963930384,0,success,9
10,0.33951724506306336,gbtree,0.009214600405300987,1963,0.05010560407655029,0.15320833296942316,4.959105874684038,impute.median,0.03808171146238585,21.522024788971322,5.0,56.362498065555066,1.0,10,333.3333333333333,366.66666666666663,0.51320404,0.5,0.5,0,success,10
11,0.5614828509358702,gblinear,0.0183156389,1941,0.505,0.0301973834,0.002300002553424799,impute.median,0.505,0.0023196478879437023,8,20.0855369232,1.0,10,366.66666666666663,399.99999999999994,0.97337383,0.5,0.5,0,success,11
12,0.40987898092371267,dart,0.007935449993736646,2427,0.5666095238061725,0.005583453161750154,228.98499771084758,impute.mean,0.13330915877693067,3.3391721179214944,4.0,24.93723352037084,1.0,10,399.99999999999994,433.33333333333326,0.8127198,0.24167571409434496,0.2883307570075776,0,success,12
13,0.8287396983215,gblinear,0.0183156389,40,0.505,0.0301973834,0.2953922329777988,impute.median,0.505,85.94379994223945,8,20.0855369232,1.0,10,433.33333333333326,466.6666666666666,0.097627945,0.5,0.5,0,success,13
14,0.6638558161777781,dart,0.0038213670002863716,199,0.5979849595970366,0.3457768887654071,0.2701291001582381,impute.hist,0.910859372045674,91.64183877099065,12.0,75.12969908476832,1.0,10,466.6666666666666,499.9999999999999,0.105304986,0.14547353818653175,0.043066888568204176,0,success,14
15,0.10895910472656277,gbtree,0.003626649328781468,11,0.656088430573272,0.006200928067647065,17.066696462697475,impute.median,0.1355489312386353,165.15693376583425,15.0,3.4482146570939993,1.0,10,499.9999999999999,533.3333333333333,0.09469756,0.5,0.5,0,success,15
16,0.4426934574798005,gbtree,0.016021792727783445,2585,0.7779342762208101,0.007922896177956513,0.03986386506115588,impute.median,0.8644890021474246,208.15862689029944,3.0,10.774507462943546,1.0,10,533.3333333333333,566.6666666666666,0.09525387,0.5,0.5,0,success,16
17,0.995425613344826,gbtree,0.0020118965278287278,21,0.881297140091029,0.2688364133378513,10.490306895635745,impute.median,0.9264574314422745,32.31330439596256,15.0,85.0131234575183,1.0,10,566.6666666666666,600.0,0.7701739,0.5,0.5,0,success,17
18,0.32243206628989673,gbtree,0.14096300368852235,530,0.17538239949444948,0.014536404973112366,312.1802442792286,impute.mean,0.5657867598747207,2.994277026588785,12.0,22.288904408199283,1.0,10,600.0,633.3333333333334,0.8836675,0.5,0.5,0,success,18
19,0.571091254655428,gblinear,0.0183156389,12,0.505,0.0301973834,851.6687871525432,impute.mean,0.505,0.0009974828097324712,8,20.0855369232,1.0,10,633.3333333333334,666.6666666666667,0.8121124,0.5,0.5,0,success,19
