,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),seed,status,config_id
0,1096.6331584284585,dart,1096.6331584284585,7,impute.median,0.1,1.0,1.0,0.0009118819655545162,7.38905609893065,15.0,148.4131591025766,1.0,0.0,1.0,10,0.0,33.333333333333336,0.09327956,0,success,0
1,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.median,1.0,0.01,0.01,1.0,4.5399929762484854e-05,1.0,2.718281828459045,1.0,1.0,1.0,10,33.333333333333336,66.66666666666667,0.94612926,0,success,1
2,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.hist,0.1,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,148.4131591025766,0.0,1.0,1.0,10,66.66666666666667,100.0,0.08681338,0,success,2
3,0.0009118819655545162,gbtree,0.0009118819655545162,7,impute.median,1.0,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,148.4131591025766,0.5,0.5,1.0,10,100.0,133.33333333333334,0.21190107,0,success,3
4,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,0.1,0.01,0.01,0.0009118819655545162,7.38905609893065,1.0,148.4131591025766,0.0,1.0,1.0,10,133.33333333333334,166.66666666666669,0.0926835,0,success,4
5,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.hist,0.1,1.0,0.01,0.0009118819655545162,7.38905609893065,15.0,2.718281828459045,1.0,0.0,1.0,10,166.66666666666669,200.00000000000003,0.9972838,0,success,5
6,1096.6331584284585,gbtree,0.0009118819655545162,7,impute.mean,1.0,0.01,0.01,1.0,7.38905609893065,15.0,2.718281828459045,0.5,0.5,1.0,10,200.00000000000003,233.33333333333337,0.089252956,0,success,6
7,0.0009118819655545162,dart,1096.6331584284585,7,impute.mean,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1.0,148.4131591025766,0.0,0.0,1.0,10,233.33333333333337,266.6666666666667,0.09987281,0,success,7
8,1096.6331584284585,gbtree,1096.6331584284585,2981,impute.hist,1.0,0.01,0.01,0.0009118819655545162,7.38905609893065,15.0,2.718281828459045,0.5,0.5,1.0,10,266.6666666666667,300.0,0.10356625,0,success,8
9,1096.6331584284585,dart,0.0009118819655545162,7,impute.median,1.0,0.01,1.0,1.0,4.5399929762484854e-05,1.0,2.718281828459045,1.0,0.0,1.0,10,300.0,333.3333333333333,0.09145043,0,success,9
10,0.0009118819655545162,dart,1096.6331584284585,2981,impute.mean,0.1,0.01,0.01,1.0,4.5399929762484854e-05,15.0,148.4131591025766,1.0,1.0,1.0,10,333.3333333333333,366.66666666666663,0.30668375,0,success,10
11,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,1.0,0.01,1.0,1.0,7.38905609893065,15.0,2.718281828459045,0.0,1.0,1.0,10,366.66666666666663,399.99999999999994,0.08272312,0,success,11
12,0.0009118819655545162,dart,1096.6331584284585,7,impute.median,0.1,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,1.0,148.4131591025766,1.0,0.0,1.0,10,399.99999999999994,433.33333333333326,0.093762785,0,success,12
13,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,0.01,1.0,1.0,4.5399929762484854e-05,15.0,148.4131591025766,0.0,0.0,1.0,10,433.33333333333326,466.6666666666666,0.095092125,0,success,13
14,0.0009118819655545162,dart,1096.6331584284585,7,impute.mean,1.0,0.01,0.01,1.0,7.38905609893065,1.0,2.718281828459045,0.0,0.0,1.0,10,466.6666666666666,499.9999999999999,0.61361,0,success,14
15,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,0.1,0.01,1.0,0.0009118819655545162,7.38905609893065,1.0,148.4131591025766,1.0,0.0,1.0,10,499.9999999999999,533.3333333333333,0.9306458,0,success,15
16,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,0.1,0.01,0.01,1.0,4.5399929762484854e-05,1.0,148.4131591025766,1.0,0.0,1.0,10,533.3333333333333,566.6666666666666,0.9223825,0,success,16
17,1096.6331584284585,dart,0.0009118819655545162,2981,impute.mean,1.0,0.01,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,2.718281828459045,0.0,0.0,1.0,10,566.6666666666666,600.0,0.099948846,0,success,17
18,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,0.01,0.01,0.0009118819655545162,4.5399929762484854e-05,1.0,148.4131591025766,1.0,1.0,1.0,10,600.0,633.3333333333334,0.08688875,0,success,18
19,1096.6331584284585,gbtree,0.0009118819655545162,2981,impute.mean,1.0,0.01,1.0,1.0,7.38905609893065,1.0,148.4131591025766,0.5,0.5,1.0,10,633.3333333333334,666.6666666666667,0.08946259,0,success,19
