,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_8,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_8,epoch,start_time,end_time,metric:val_accuracy [0.0; 100.0] (maximize),NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_11,seed,status,config_id
94,sep_conv_5x5,2_3,dil_conv_5x5,1_2,1_3,avg_pool_3x3,1_2,1_3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,skip_connect,1_2,dil_conv_5x5,sep_conv_5x5,sep_conv_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,98,9212.0,9310.0,92.87398,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_3x3,max_pool_3x3,sep_conv_5x5,sep_conv_3x3,1234,success,94
95,sep_conv_3x3,1_2,sep_conv_5x5,0_1,1_3,max_pool_3x3,0_2,1_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,0_1,dil_conv_5x5,dil_conv_3x3,sep_conv_3x3,dil_conv_5x5,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,98,9310.0,9408.0,93.46921,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,avg_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,1234,success,95
96,skip_connect,2_4,avg_pool_3x3,0_3,0_4,max_pool_3x3,1_2,0_1,dil_conv_3x3,sep_conv_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,1_2,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,98,9408.0,9506.0,92.16435,dil_conv_5x5,dil_conv_5x5,skip_connect,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,sep_conv_5x5,dil_conv_3x3,1234,success,96
97,avg_pool_3x3,0_1,max_pool_3x3,2_3,1_4,max_pool_3x3,0_2,2_3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,avg_pool_3x3,0_2,sep_conv_3x3,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,sep_conv_5x5,dil_conv_3x3,dil_conv_5x5,98,9506.0,9604.0,92.04452,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,1234,success,97
98,max_pool_3x3,2_3,avg_pool_3x3,0_1,0_3,dil_conv_3x3,1_2,2_3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_5x5,0_1,sep_conv_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_5x5,max_pool_3x3,dil_conv_5x5,98,9604.0,9702.0,93.28104,sep_conv_3x3,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_5x5,1234,success,98
99,sep_conv_3x3,0_2,dil_conv_5x5,0_3,0_2,max_pool_3x3,1_2,1_2,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_5x5,1_2,avg_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,98,9702.0,9800.0,92.13066,avg_pool_3x3,dil_conv_3x3,max_pool_3x3,skip_connect,max_pool_3x3,skip_connect,max_pool_3x3,avg_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,sep_conv_3x3,1234,success,99
100,skip_connect,0_2,sep_conv_5x5,0_1,1_3,sep_conv_5x5,1_2,0_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,1_2,sep_conv_3x3,dil_conv_3x3,sep_conv_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,sep_conv_3x3,98,9800.0,9898.0,92.79125,max_pool_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,dil_conv_3x3,1234,success,100
101,avg_pool_3x3,2_3,max_pool_3x3,1_2,1_4,dil_conv_3x3,1_2,0_2,max_pool_3x3,sep_conv_5x5,dil_conv_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_5x5,1_2,sep_conv_3x3,dil_conv_5x5,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,98,9898.0,9996.0,92.69544,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,skip_connect,sep_conv_5x5,1234,success,101
0,sep_conv_3x3,3_4,dil_conv_5x5,0_3,3_4,max_pool_3x3,0_2,2_3,dil_conv_3x3,dil_conv_5x5,skip_connect,max_pool_3x3,sep_conv_3x3,sep_conv_3x3,1_2,dil_conv_5x5,max_pool_3x3,sep_conv_5x5,sep_conv_5x5,skip_connect,max_pool_3x3,max_pool_3x3,98,0.0,98.0,92.18704,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,0
1,sep_conv_3x3,0_3,dil_conv_3x3,0_2,1_2,max_pool_3x3,0_2,2_3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,avg_pool_3x3,0_1,dil_conv_5x5,sep_conv_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,avg_pool_3x3,sep_conv_5x5,98,98.0,196.0,92.63773,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,1
2,dil_conv_3x3,2_4,dil_conv_3x3,0_3,0_3,max_pool_3x3,0_2,0_1,dil_conv_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,1_2,dil_conv_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,98,196.0,294.0,92.69862,dil_conv_5x5,avg_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,2025,success,2
3,skip_connect,0_4,dil_conv_3x3,0_2,1_2,max_pool_3x3,0_2,2_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,skip_connect,avg_pool_3x3,0_1,dil_conv_5x5,max_pool_3x3,sep_conv_3x3,sep_conv_3x3,avg_pool_3x3,dil_conv_5x5,avg_pool_3x3,98,294.0,392.0,92.6667,avg_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,2025,success,3
4,skip_connect,1_4,skip_connect,0_1,2_3,dil_conv_3x3,1_2,2_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_5x5,0_2,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,avg_pool_3x3,98,392.0,490.0,92.8473,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,skip_connect,max_pool_3x3,2025,success,4
